type,roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,datetime
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.341698
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.362043
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.381539
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.399679
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.419791
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.439760
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.459893
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.482040
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.499814
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.519855
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.538835
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.562312
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.580177
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.602766
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.619260
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.639055
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.659808
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.679747
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.699843
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.720779
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.741995
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.760002
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.779815
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.802723
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.819867
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.839778
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.858985
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.879730
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.899360
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.918842
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.939787
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.960446
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.980672
